Name,Album,Song,TrackNo,String6,String5,String4,String3,String2,String1
Thurston,Sonic Nurse,Paper Cut Exit,8,E2,G#2,E3,G#3,E3,G#3
Thurston,Sonic Nurse,I Love You Golden Blue,9,F#2,F#2,F#3,F#3,E3,B4
Thurston,Sonic Nurse,Peace Attack,10,C2,G2,D3,G3,C3,D4
Lee,Sonic Nurse,Pattern Recognition,1,C2,G2,D3,C3,G3,D4
Lee,Sonic Nurse,Unmade Bed,2,G2,G2,D3,G3,G3,A4
Lee,Sonic Nurse,Dripping Dream,3,G2,G2,D3,G3,G3,A4
Lee,Sonic Nurse,Kim Gordon and the Arthur Doyle Hand Cream,4,G2,G2,D3,G3,G3,A4
Lee,Sonic Nurse,Stones,5,G2,G2,D3,G3,G3,A4
Lee,Sonic Nurse,Dude Ranch Nurse,6,C2,G2,D3,C3,G3,D4
Lee,Sonic Nurse,New Hampshire,7,G2,G2,D3,G3,G3,A4
Lee,Sonic Nurse,Paper Cut Exit,8,E2,G#2,E3,G#3,E3,G#3
